Product Usage Report,,
Paul Kemp Hairdressing,,
01/06/19 - 30/06/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Profeesional use only,#,Cost
gloves small,3,0.00
gloves large,1,0.00
Total,4,0.00
Total,4,0.00
Kevin.Murphy,,
Professional use only,#,Cost
MAXI.WASH 1Ltr,1,22.94
REPAIR.ME.WASH 1Ltr,1,33.01
BLONDE.ANGEL.WASH 1Ltr,1,24.43
Total,3,80.38
Total,3,80.38
Schwarzkopf,,
Colour Misc,#,Cost
Color Remover,1,3.55
Total,1,3.55
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,3,32.40
Total,3,32.40
Professional use only,#,Cost
Fibreplex 1 Booster 500ml,1,64.41
bc fiber clinix trbond shampoo all hair types,1,0.00
Hyaluronic Moisture Kick shampoo,1,10.47
Total,3,74.88
Total,7,110.83
Page 5 ,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Finish),#,Cost
FRESH.HAIR,1,13.00
Session.Spray Flex ,1,0.00
Total,2,13.00
Hair Products (Wet to Dry),#,Cost
Heated.Defense,1,13.54
SHIMMER.ME BLONDE,3,40.62
Total,4,54.16
Total,6,67.16
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Elastic 500ml,4,24.96
OSiS Session Label Super Dry Flex 500ml,1,7.38
Osis Freeze 500ml,1,6.22
Osis Sparkler 300ml,1,6.57
Osis Refresh Dust 300ml,1,6.60
Total,8,51.73
Hair Products (Prep),#,Cost
hyaluronic moisture kick micellar spray conditioner,1,6.36
hyaluronic moisture kick micellar conditioner,1,6.36
pH 4.5 Colour Freeze Spray Conditioner,1,6.36
Total,3,19.08
Hair Products (Wet to Dry),#,Cost
BM Inst Blush Steelblue,1,3.00
hyaluronic moisture kick micellar Shampoo,1,5.73
Osis Blow & Go 200ml,2,12.44
Total,4,21.17
Total,15,91.98
Page 6 ,,
