Brand Olaplex - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Olaplex No4 Bond Maintainer Shampoo,0.00,22.00,0,3,-10,1,1,0,0,0,66.00,100%,0%,NA,896364002428
Olaplex No5 Bond Maintainer Conditioner,0.00,22.00,0,4,-6,0,0,0,0,0,88.00,100%,0%,NA,896364002435
Olaplex hair perfector No3,17.25,27.95,0,8,-19,0,0,0,0,0,83.65,38%,0%,NA,896364002350
Brand Schwarzkopf - Category Colour Tubes,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BM toning ice,6.42,0.00,70,1,-38,0,0,0,0,60,-0.42,-7%,7000%,74,4045787368208
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Boho Rebel-Dark,6.60,13.15,0,1,4,0,0,0,0,0,-6.60,NA,0%,NA,4045787437973
OSIS+ Fresh Texture Foam ,6.60,13.15,0,1,3,0,0,0,0,5,6.55,50%,0%,485,4045787461732
OSiS Session Label Powder Cloud 8g,9.03,18.05,6,4,0,0,0,0,0,1,12.62,26%,150%,368,4045787366884
OSiS Session Label Super Dry Fix 300ml,6.21,12.90,0,4,-2,0,0,0,0,3,0.96,4%,0%,729,4045787370317
OSiS Session Label Super Dry Flex 300ml,6.21,12.90,0,2,0,0,0,0,0,6,10.16,45%,0%,729,4045787370256
Osis Dust It 10gr,6.75,13.50,3,7,0,0,0,0,0,7,3.38,7%,43%,274,4045787314199
Osis Elastic 300ml,5.25,10.87,2,1,5,0,0,0,0,0,-5.25,NA,200%,267,4045787314052
Osis Elastic 500ml,6.24,12.45,0,4,-2,0,1,0,0,3,-24.96,NA,0%,583,4045787314076
Osis Flexwax 85ml,5.48,10.95,2,6,-1,0,1,0,0,7,7.64,19%,33%,344,4045787314700
Osis Freeze 300ml,5.25,10.87,0,2,4,0,0,0,0,3,5.26,33%,0%,416,4045787314212
Osis Freeze 500ml,6.22,12.45,1,3,1,0,0,0,0,5,6.24,25%,33%,375,4045787314236
Osis Mess Up 100ml,6.75,13.50,4,3,3,0,0,0,0,0,20.25,50%,133%,274,4045787314601
Osis Mighty Matte 85ml,5.49,11.39,3,6,0,0,0,0,0,0,-10.16,-45%,50%,274,4045787314762
Page 6,,,,,,,,,,,,,,,
Osis Refresh Dust 300ml,6.60,13.68,5,4,2,0,0,0,0,1,-16.14,-157%,125%,274,4045787387759
Osis Session 500ml,6.22,12.45,0,1,0,0,0,0,0,6,-6.22,NA,0%,906,4045787314311
Osis Sparkler 300ml,6.57,13.15,3,3,2,0,0,0,0,6,19.74,50%,100%,274,4045787314373
Osis Thrill 100ml,6.75,14.04,0,1,6,0,0,0,0,3,7.29,52%,0%,NA,4045787140453
Osis Volume Up 250ml,6.60,13.50,0,1,9,0,0,0,0,3,6.90,51%,0%,1059,4045787314632
Osis Whipped Wax 85ml,6.60,13.68,3,1,3,0,0,0,0,3,-6.60,NA,300%,368,4045787314861
Session Label: Super Dry Fix ,0.00,4.50,0,1,5,0,0,0,0,0,4.50,100%,0%,NA,4045787370492
Texture Craft ,0.00,13.15,0,1,2,0,0,0,0,0,0.00,NA,0%,NA,4045787461596
hyaluronic moisture kick micellar bb hydra pearl,15.90,26.50,0,1,4,0,0,0,0,3,10.60,40%,0%,NA,4045787438017
osis session mini,0.00,4.50,0,3,5,0,0,0,0,0,9.00,100%,0%,NA,4045787314885
Brand Schwarzkopf - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BC Color Freeze Silver Shampoo 250ml,5.37,11.18,9,1,0,0,0,0,0,12,-5.37,NA,900%,267,4045787301694
BC Moisture Kick Spray Conditioner 200ml,5.97,12.43,8,1,4,0,0,0,0,0,6.46,52%,800%,267,4045787238457
