Product Usage Report,,
Paul Kemp Hairdressing,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Osis Volume Up 250ml,1,6.60
Osis Elastic 500ml,2,12.48
Total,9,44.28
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
FIBRE CLINIX Hydrate Booster,1,11.64
FIBRE CLINIX Volumize Bodyfying Spray,1,9.03
FIBRE CLINIX Fortify Booster,1,11.64
hyaluronic moisture kick micellar spray conditioner,1,6.36
Total,4,38.67
Retail (Styling Products),#,Cost
Keratin Smooth Treatment,1,18.30
schwarzkopf oasid soft texture spray ,1,0.00
Page 11,,
peptide repair rescue sealed ends,3,21.51
OSIS Session Label Miracle 15 50ml,1,7.98
Osis Blow & Go 200ml,4,24.88
OSiS Session Label Volumizing Mousse 200ml,1,6.21
Total,11,78.88
Total,31,173.35
Schwarzkopf Professional,,
Colour Tubes,#,Cost
X VIBRANCE 5-16,3,0.00
X VIBRANCE 6-16,7,34.44
Total,10,34.44
Total,10,34.44
Schwarzkopf.,,
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Repair Rescue Sealed Ends+ 100ml,1,9.33
Total,1,9.33
Total,1,9.33
Page 12,,
