Product Usage Report,,
Base Hair Academy,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain,2,21.60
Total,2,21.60
Professional use only,#,Cost
Peptide Repair Rescue treatment,1,18.30
Fibre Clinix Fortify Booster,1,16.26
Fibre Clinix Vibrancy Booster,1,16.26
Page 7,,
fibre clinix hyrdate shampoo SALON ONLY,1,0.00
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Hyaluronic Moisture Kick shampoo,1,10.47
Fibreplex 1 Booster 500ml,1,64.41
Fibre Clinix Hydrate Booster,1,16.26
Peptide Repair Rescue Conditioner,1,18.30
Total,9,177.71
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Hyaluronic Moisture Kick Treatment,2,36.60
pH 4.5 Color Freeze Conditioner,2,36.60
Hyaluronic Moisture Kick Conditioner,2,36.60
Total,6,109.80
Total,22,332.86
Schwarzkopf Igora,,
Colour Tubes,#,Cost
X c10 7-1,1,0.00
Total,1,0.00
Total,1,0.00
Schwarzkopf.,,
Profeesional use only,#,Cost
gloves medium,1,0.00
gloves small,6,0.00
gloves large,1,0.00
Total,8,0.00
Total,8,0.00
Page 8,,
RETAIL,,
Igora,,
Colour Tubes,#,Cost
X IV 7-42,6,0.00
Total,6,0.00
Total,6,0.00
Kevin.Murphy,,
Retail (Backwash),#,Cost
Touchable Spray,1,0.00
Bedroom.hair,2,26.00
Total,3,26.00
Retail (Styling Products),#,Cost
HAIR.RESORT.SPRAY,1,12.46
kevin murphy blowdry ever.bounce,2,0.00
kevin.murphy blowdry ever.smooth,2,0.00
SMOOTH.AGAIN,1,16.25
kevin.murphy blowdry ever.thicken,1,0.00
Total,7,28.71
Total,10,54.71
Schwarzkopf,,
Professional use only,#,Cost
fibre clinix vibrancy shampoo SALON ONLY,1,0.00
Peptide Repair Rescue Deep Nourishing Shampoo,1,17.45
fibre clinix hyrdate conditioner SALON ONLY,2,0.00
fibre clinix fortify shampoo SALON ONLY,1,0.00
fibre clinix fortify conditioner SALON ONLY,1,0.00
fibre clinix vibrancy conditioner SALON ONLY,2,0.00
Total,8,17.45
Retail (Backwash),#,Cost
Fibre Clinix Tribond Treatment (FINE HAIR),1,0.00
Osis Elastic 300ml,1,5.25
Total,2,5.25
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
collagen volume boost micellar shampoo,1,5.73
Keratin Smooth Perfect: Duo Layering,1,15.06
Page 9,,
peptide repair rescue nutri-shield serum,1,7.17
Peptide Repair Rescue : Blow-Defence,1,8.10
Total,4,36.06
Retail (Styling Products),#,Cost
Osis Blow & Go 200ml,1,6.22
peptide repair rescue sealed ends,1,7.17
schwarzkopf osis keep it light hair spray,1,0.00
Total,3,13.39
Total,17,72.15
Schwarzkopf Professional,,
Colour Tubes,#,Cost
X VIBRANCE 5-16,2,0.00
Total,2,0.00
Total,2,0.00
Schwarzkopf Retail,,
Retail (Styling Products),#,Cost
"Chro ID Large Classic 9,5-1",1,21.00
Total,1,21.00
Total,1,21.00
Page 10,,
